journal,article_number,date,sentence,context_span
CNN,6,May25,Tuesday's tragic event marks the deadliest school shooting in nearly a decade since 26 children and adults were killed at Sandy Hook Elementary School in 2012.,"Authorities say he was armed with a rifle and carrying a backpack. Tuesday's tragic event marks the deadliest school shooting in nearly a decade since 26 children and adults were killed at Sandy Hook Elementary School in 2012. It is also at least the 30 th shooting at a K-12 school in 2022, according to a CNN tally."
CNN,7,May25,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.","Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy. The shooting is the latest entry in the long history of gun violence in the United States."
CNN,8,May25,"Nineteen children and two adults were killed in a mass shooting at an elementary school in Uvalde, Texas, Tuesday in what is now the second deadliest school shooting in the US.","Nineteen children and two adults were killed in a mass shooting at an elementary school in Uvalde, Texas, Tuesday in what is now the second deadliest school shooting in the US. The 18-year-old shooter, identified by officials as Salvador Ramos, was shot and killed by responding law enforcement."
CNN,8,May25,"The 18-year-old shooter, identified by officials as Salvador Ramos, was shot and killed by responding law enforcement.","Nineteen children and two adults were killed in a mass shooting at an elementary school in Uvalde, Texas, Tuesday in what is now the second deadliest school shooting in the US. The 18-year-old shooter, identified by officials as Salvador Ramos, was shot and killed by responding law enforcement. He arrived at Robb Elementary School with a long rifle and wearing body armor, according to Sgt."
CNN,8,May25,"The school teaches second through fourth grades and had 535 students in the 2020-21 school year, according to state data.","Erick Estrada with the Texas Department of Public Safety. The school teaches second through fourth grades and had 535 students in the 2020-21 school year, according to state data. Hours after the shooting Tuesday, parents were desperately waiting at a civic center near the school to find out if their children had survived."
CNN,8,May25,"Hours after the shooting Tuesday, parents were desperately waiting at a civic center near the school to find out if their children had survived.","The school teaches second through fourth grades and had 535 students in the 2020-21 school year, according to state data. Hours after the shooting Tuesday, parents were desperately waiting at a civic center near the school to find out if their children had survived. Some told CNN they gave their DNA to help identify the victims."
CNN,9,May25,"Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy.","Tuesday's shooting at a Texas elementary school, which has left at least 19 children and two adults dead, marked another instance of a uniquely American tragedy. The shooting is the latest entry in the long history of gun violence in the United States."
CNN,11,May24,"Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said.","Two days before the start of summer break, an 18-year-old man opened fire at an elementary school in Uvalde, Texas, on Tuesday, killing 14 students and one teacher, Gov. Greg Abbott said. The alleged shooter, who also died, is believed to have shot his grandmother before going to the school, three law enforcement sources told CNN."
CNN,11,May24,"He shot and killed, horrifically, incomprehensively, 14 students and killed a teacher,"" he said.","It's believed that he abandoned his vehicle and entered into the Robb Elementary School in Uvalde with a handgun and he may have also had a rifle, but that is not yet confirmed according to my most recent report. He shot and killed, horrifically, incomprehensively, 14 students and killed a teacher,"" he said."
CNN,12,May25,"An 18-year-old gunman on Tuesday fatally shot 19 children and two adults at an elementary school in Uvalde, Texas, before he was killed by law enforcement officers, officials said.","As we pause, our hearts go out to the families and communities impacted."" An 18-year-old gunman on Tuesday fatally shot 19 children and two adults at an elementary school in Uvalde, Texas, before he was killed by law enforcement officers, officials said. Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School."
CNN,12,May25,"Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School.","An 18-year-old gunman on Tuesday fatally shot 19 children and two adults at an elementary school in Uvalde, Texas, before he was killed by law enforcement officers, officials said. Tuesday's massacre is the second-deadliest school shooting since 2012, when 26 children and adults were killed at Sandy Hook Elementary School. It is at least the 30 th shooting at a K-12 school in 2022, according to a CNN tally."
CNN,13,May25,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about his intentions.","Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about his intentions. According to screenshots reviewed by CNN and an interview with the 15-year-old girl -- who said she had been in contact with the gunman for weeks -- Ramos complained about his grandmother being ""on the phone with AT&T abojt (sic) my phone."" """
CNN,15,May25,She was pronounced dead at the scene.,"Officers went to the home shortly before 10 p.m. to find Wilson suffering from gunshot wounds, according to police. She was pronounced dead at the scene. Surveillance video shows a vehicle like Armstrong's near the scene of the shooting, according to the affidavit."
CNN,16,May25,"An 18-year-old gunman on Tuesday fatally shot 19 children and two teachers at an elementary school before he was killed by law enforcement officers, officials said.","President Joe Biden's nominee to run the Bureau of Alcohol, Tobacco, Firearms and Explosives vowed he would not be influenced by political considerations if he secures the job at a Senate confirmation hearing on Wednesday with the nation's attention focused on gun violence after a horrific shooting at a Texas elementary school. An 18-year-old gunman on Tuesday fatally shot 19 children and two teachers at an elementary school before he was killed by law enforcement officers, officials said. It is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old."
CNN,16,May25,"It is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old.","An 18-year-old gunman on Tuesday fatally shot 19 children and two teachers at an elementary school before he was killed by law enforcement officers, officials said. It is the deadliest shooting at a school since the Sandy Hook massacre in Connecticut in 2012 that left 26 people dead, including 20 children aged between 6 and 7 years old. The tragedy has shocked the nation and ratcheted up the pressure on Congress and the President to take action, though Democrats can do little to pass stricter gun control measures in a 50-50 Senate amid widespread Republican opposition."
CNN,17,May25,"The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for his 18 th birthday.","The suspect who killed 19 kids and two teachers at an elementary school in Uvalde, Texas, was a local high school student with few if any friends who officials said legally purchased two assault rifles and scores of ammo last week for his 18 th birthday. Salvador Ramos was identified as the gunman who stormed into Robb Elementary on Tuesday with an assault rifle and tactical vest, barricaded himself in a classroom of children and opened fire."
CNN,18,May25,"The NRA's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year the organization is moving ahead with its plans, holding the meeting at a time when both gun rights and the organization itself have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead.","The National Rifle Association is set to hold its 2022 annual meeting in Houston on Friday, bringing together its top brass and several notable conservatives, including former President Donald Trump, for the first time in three years. The NRA's annual meeting was canceled in 2020 and 2021 due to the coronavirus pandemic, but this year the organization is moving ahead with its plans, holding the meeting at a time when both gun rights and the organization itself have come under intense scrutiny, especially after a shooting at an elementary school in Uvalde, Texas, left 21 dead. Here's what we know about the 2022 annual meeting."
CNN,20,May25,Walker's comments come one day after a gunman murdered 21 people in a Texas elementary school.,"It is my view that the Capitol Complex should be a place where no one carries a firearm unless they are actively engaged in law enforcement or the protection work done by, among others, myself, the U.S. Capitol Police (USCP) the U.S. Secret Service, and the protective details of visiting foreign officials"" Walker wrote. Walker's comments come one day after a gunman murdered 21 people in a Texas elementary school. It letter was prompted by an April letter from Democratic House Majority Leader Steny Hoyer, who asked Walker for clarity on whether the US Capitol could be made a ""gun-free zone"" with the exception of security personnel."
CNN,21,May25,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, he was shouted down for making the tragedy political. ""","When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, he was shouted down for making the tragedy political. "" There are family members who are crying as we speak, there are family members whose hearts are broken, there is no words that anybody shouting can come up here and do anything to heal those broken hearts,"" said Abbott. """
CNN,23,May25,"Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about his intentions.","Just before killing 19 children and two teachers in a Texas elementary school Tuesday, the 18-year-old gunman allegedly texted a girl who lives in Germany about his intentions. According to screenshots reviewed by CNN and an interview with the 15-year-old girl -- who said she had been in contact with the gunman for weeks -- Ramos complained about his grandmother being ""on the phone with AT&T abojt (sic) my phone."" """
CNN,25,May25,"When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, he was shouted down for making the tragedy political. ""","When Democrat Beto O'Rourke confronted Texas Republican Gov. Greg Abbott during a press conference Wednesday in the wake of a mass school shooting that left 19 children and two adults dead, he was shouted down for making the tragedy political. "" There are family members who are crying as we speak, there are family members whose hearts are broken, there is no words that anybody shouting can come up here and do anything to heal those broken hearts,"" said Abbott. """
FOX,1,May24,"A mass shooting at a Texas elementary school killed 19 children and two teachers Tuesday and the suspected gunman was killed,Gov. Greg Abbott said.","A mass shooting at a Texas elementary school killed 19 children and two teachers Tuesday and the suspected gunman was killed,Gov. Greg Abbott said. Abbott identified the suspect as Salvador Ramos, a Uvalde resident, who is also dead and acted alone, authorities said."
FOX,1,May24,"Abbott identified the suspect as Salvador Ramos, a Uvalde resident, who is also dead and acted alone, authorities said.","A mass shooting at a Texas elementary school killed 19 children and two teachers Tuesday and the suspected gunman was killed,Gov. Greg Abbott said. Abbott identified the suspect as Salvador Ramos, a Uvalde resident, who is also dead and acted alone, authorities said. He had ahandgun and possibly a rifle when he opened fire at Robb Elementary School, he said."
FOX,1,May24,"The shooter was likely killed by responding officers, but the investigation was still ongoing, authorities said.","Cecilia and I mournthis horrific loss and we urge all Texans to come together to show our unwavering support to all who are suffering,"" he said in astatement. The shooter was likely killed by responding officers, but the investigation was still ongoing, authorities said. A law enforcement officer helps people cross the street at Uvalde Memorial Hospital after a shooting was reported earlier in the day at RobbElementary School on Tuesday."
FOX,2,May24,"The report was released just over a week after upstate New York man Payton Gendron, 18, allegedly unleashed a racially motivedattack on May 15, when he opened fire at a busy Tops Friendly Markets store in Buffalo, N.Y. Gendron killed 10 people andwounded three others, officials have said.","There were 52.5% more active shooter incidents between 2020 and 2021, and 33% more from 2019 to 2020, according to an FBIreport released Monday, titled ""Active Shooter Incidents in the United States in 2021."" The report was released just over a week after upstate New York man Payton Gendron, 18, allegedly unleashed a racially motivedattack on May 15, when he opened fire at a busy Tops Friendly Markets store in Buffalo, N.Y. Gendron killed 10 people andwounded three others, officials have said. Eleven of the victims were Black individuals."
FOX,3,May24,"President Biden is set to address the nation after a horrific shooting in Uvalde, Texas left 14 children and one teacher dead.","President Biden is set to address the nation after a horrific shooting in Uvalde, Texas left 14 children and one teacher dead. Biden will speak at 8:15 PM EST on the tragedy that has devastated the town outside of San Antonio, Texas, and shocked thecountry."
FOX,5,May24,The Uvalde Consolidated Independent School District (UCISD) in Texas had many security measures in place before Tuesday'smass shooting that left at least 18 students and a teacher dead after a now-deceased suspect opened fire at Robb ElementarySchool.,"The Uvalde Consolidated Independent School District (UCISD) in Texas had many security measures in place before Tuesday'smass shooting that left at least 18 students and a teacher dead after a now-deceased suspect opened fire at Robb ElementarySchool. The now-deceased suspect, Salvador Romas, is accused of entering school grounds on Tuesday and opening fire, according toTexas Gov. Greg Abbott."
FOX,6,May24,"Texas Gov. Greg Abbott identified the deceased suspect as Salvador Ramos, 18, who had a handgun and possibly a rifle when heopened fire at Robb Elementary School, killing 18 students and one teacher, according to Abbott.","Democrats rushed to capitalize on the mass shooting at Robb Elementary School in Uvalde, Texas, on Tuesday to demand guncontrol measures and attack Republicans. Texas Gov. Greg Abbott identified the deceased suspect as Salvador Ramos, 18, who had a handgun and possibly a rifle when heopened fire at Robb Elementary School, killing 18 students and one teacher, according to Abbott. Two police officers were shot andwounded but were expected to survive, the governor said."
FOX,7,May24,"UVALDE, TEXAS SCHOOL SHOOTING: 14 STUDENTS, ONE TEACHER KILLED, SUSPECTED SHOOTER DEAD, GOV.","First, we need to get to the bottomof what happened here in this situation. UVALDE, TEXAS SCHOOL SHOOTING: 14 STUDENTS, ONE TEACHER KILLED, SUSPECTED SHOOTER DEAD, GOV. ABBOTT SAYS I think we have to be willing to confront the conversation around guns and figure out if there are things, sensible things that we cando."
FOX,8,May24,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD I was in the business of rescuing people from situations like this.","And frankly, I'm a lot afraid. UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD I was in the business of rescuing people from situations like this. It's a lot better to be inside keeping the bad guys out than trying togo in and find the bad guys."
FOX,9,May24,"To lose a child is like having a piece of your soul ripped away,"" said Biden, who learned of the shooting at Robb Elementary Schoolwhile on Air Force One returning from his trip to Asia. ""","President Biden called for changes to gun laws Tuesday and expressed his heartbreak in his address to the nation following a massshooting at an elementary school in Uvalde, Texas. "" To lose a child is like having a piece of your soul ripped away,"" said Biden, who learned of the shooting at Robb Elementary Schoolwhile on Air Force One returning from his trip to Asia. "" There's a hollowness in your chest, you feel like you're being sucked into it, never able to get out."
FOX,9,May24,"A shooter identified as Salvador Romas opened fire at Robb Elementary School Tuesday, killing at least 18 students and oneteacher.","It's never quite the same."" A shooter identified as Salvador Romas opened fire at Robb Elementary School Tuesday, killing at least 18 students and oneteacher. The gunman also died."
FOX,9,May24,"Two police officers were shot and wounded but were expected to survive, Texas Gov. Greg Abbottsaid.","The gunman also died. Two police officers were shot and wounded but were expected to survive, Texas Gov. Greg Abbottsaid. President Joe Biden makes a statement about the school shooting in Uvalde, Texas shortly after his return from South Korea and Japan, at the White House, May 24, 2022. """
FOX,10,May24,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD It goes back to why did we not have a police officer, meaning an armed resource officer, at the front of this school?","The dynamic of these mass shootings is becoming more and more prevalent in oursociety, however, we have our elected officials that come on television, they jump up and down, but there is no execution strategybecause we have a flawed purpose in how we protect these elementary schools. UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD It goes back to why did we not have a police officer, meaning an armed resource officer, at the front of this school? When we look ata lot of these mass shootings that have happened in many places throughout the country, it’s the same thing."
FOX,12,UNKNOWN,"A suspected lone gunman took the lives of at least 19 children and two teachers; the gunman has been killed, Texas Gov. GregAbbott said on Tuesday. ""","They're also calling out moral rot when they see it. A suspected lone gunman took the lives of at least 19 children and two teachers; the gunman has been killed, Texas Gov. GregAbbott said on Tuesday. "" Texans across the state are grieving for the victims of this senseless crime and for the community of Uvalde,"" the governor said ina statement. """
FOX,13,UNKNOWN,"Salvador Ramos, the alleged gunman accused of shooting his grandmother and then targeting dozens of victims – ultimately killing 19 children and two adults – at a Texas elementary school was known to be a loner who had quit his job just weeks beforeunleashing his attack, Fox News has learned.","Salvador Ramos, the alleged gunman accused of shooting his grandmother and then targeting dozens of victims – ultimately killing 19 children and two adults – at a Texas elementary school was known to be a loner who had quit his job just weeks beforeunleashing his attack, Fox News has learned. Ramos, an 18-year-old Uvalde, Texas, resident, legally purchased two AR-platform rifles on May 17 and May 20, and bought 375 rounds of ammunition on May 18, Texas Sen. John Whitmire told Fox affiliate KCPQ-TV, citing a briefing from the Bureau ofAlcohol, Tobacco, Firearms and Explosives."
FOX,13,UNKNOWN,"Reuters/Marco Bello) On Tuesday, Ramos was involved in a domestic disturbance with his grandmother at his grandparents’ Uvalde home, when he shotthe woman in the face and seriously injured her before fleeing, according to authorities.","Salvador Ramos Texas school shooter Salvador Ramos suspected vehicle crash before Uvalde Texas elementary school shooting A police vehicle is seen parked near of a truck believed to belong to the suspect of a shooting at Robb Elementary School in Uvalde, Texas, onTuesday, May 24. ( Reuters/Marco Bello) On Tuesday, Ramos was involved in a domestic disturbance with his grandmother at his grandparents’ Uvalde home, when he shotthe woman in the face and seriously injured her before fleeing, according to authorities. TEXAS SCHOOL SHOOTING: LIVE UPDATES He then crashed his vehicle near Robb Elementary School in Uvalde, authorities said."
FOX,16,UNKNOWN,"Lieutenant Gov. Dan Patrick reflected on the Texas elementary school shooting that left at least 19 children dead Tuesday on""Tucker Carlson Tonight.""","Lieutenant Gov. Dan Patrick reflected on the Texas elementary school shooting that left at least 19 children dead Tuesday on""Tucker Carlson Tonight."" DAN PATRICK: Tucker, since I was elected back with Greg Abbott back in 2014, this is now the fourth major mass shooting thatwe've had."
FOX,16,UNKNOWN,"We had the Walmart in El Paso, Odessa and then...four years ago and oneweek, we had the shooting at Santa Fe, where we lost eight students and two teachers, and I will tell you, Tucker, that I've been to alot of funerals, a lot of services, a lot of hospitals, nothing compares to what Bill [Melugin] just said about the loss of a child.","We had Sutherland Springs, the church. We had the Walmart in El Paso, Odessa and then...four years ago and oneweek, we had the shooting at Santa Fe, where we lost eight students and two teachers, and I will tell you, Tucker, that I've been to alot of funerals, a lot of services, a lot of hospitals, nothing compares to what Bill [Melugin] just said about the loss of a child. And Ithink when crimes like this happen, this is pure evil, that it impacts a whole nation."
FOX,16,UNKNOWN,"UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD Every parent, every grandparent that has a child envisions what they would feel if it happened to them.","And Ithink when crimes like this happen, this is pure evil, that it impacts a whole nation. UVALDE, TEXAS SCHOOL SHOOTING: 18 STUDENTS, ONE ADULT KILLED, SUSPECTED SHOOTER DEAD Every parent, every grandparent that has a child envisions what they would feel if it happened to them. This is something that goesto the core of our soul, all of us, and I hope the president tries to unify, not divide us on this, because we as a nation will alwaysremember this."
FOX,16,UNKNOWN,"These teachers, this community of 16,000 — the school systemonly had 4,000 students in the entire system — Tucker.","These children at this school, as adults, one day, will never forget it. These teachers, this community of 16,000 — the school systemonly had 4,000 students in the entire system — Tucker. So, these are crimes that get to the very core of who we are as people and Ithink as people, we have to look internally and ask how did we get here?"
FOX,17,UNKNOWN,"Two Robb Elementary School students who were missing hours after a horrific shooting at the school are among the 22 people whowere killed, the families say.","Two Robb Elementary School students who were missing hours after a horrific shooting at the school are among the 22 people whowere killed, the families say. The whereabouts of Elijah Cruz Torres, 10, were unknown in the aftermath of the second-deadliest mass shooting of a school inU.S. history since Sandy Hook Elementary."
FOX,22,UNKNOWN,"A mass shooting at a Texas elementary school Tuesday left at least 19 children and two teachers dead after anarmed 18-year-old entered the campus, barricaded himself in a classroom and opened fire.","A mass shooting at a Texas elementary school Tuesday left at least 19 children and two teachers dead after anarmed 18-year-old entered the campus, barricaded himself in a classroom and opened fire. The suspected gunman has been identified by authorities as 18-year-old Uvalde, Texas, resident Salvador Ramos."
FOX,23,UNKNOWN,"After at least 19 students at Robb Elementary School in Uvalde, Texas, were killed Tuesday morning, a family member of one of thechildren killed is encouraging parents across the country to hold their own children close, as they never know when it will be the lasttime. ""","After at least 19 students at Robb Elementary School in Uvalde, Texas, were killed Tuesday morning, a family member of one of thechildren killed is encouraging parents across the country to hold their own children close, as they never know when it will be the lasttime. "" For everybody else that has kids out here, cherish these moments just like your parents cherished you every day,"" Benito Martinez, a family member of the deceased told Fox News. """
FOX,23,UNKNOWN,"Martinez is the uncle of fourth-grader Xavier Lopez, 10, who was killed when a gunman broke into the school and fatally shot atleast 19 children and two teachers.","Tomorrow’s not promised, so make today worth it."" Martinez is the uncle of fourth-grader Xavier Lopez, 10, who was killed when a gunman broke into the school and fatally shot atleast 19 children and two teachers. Fourth-grader Xavier Lopez, 10, was killed when a gunman broke into Robb Elementary School in Uvalde, Texas on May 24, 2022. """
FOX,23,UNKNOWN,"Fourth-grader Xavier Lopez, 10, was killed when a gunman broke into Robb Elementary School in Uvalde, Texas on May 24, 2022. ""","Martinez is the uncle of fourth-grader Xavier Lopez, 10, who was killed when a gunman broke into the school and fatally shot atleast 19 children and two teachers. Fourth-grader Xavier Lopez, 10, was killed when a gunman broke into Robb Elementary School in Uvalde, Texas on May 24, 2022. "" I am still trying to process everything that is going on,"" he said during an interview with Fox News Digital."
FOX,24,UNKNOWN,"Matthew McConaughey said Tuesday that ""action must be taken"" after a shooting at an elementary school in his hometown ofUvalde, Texas, left at least 19 children and two teachers dead. ""","Matthew McConaughey said Tuesday that ""action must be taken"" after a shooting at an elementary school in his hometown ofUvalde, Texas, left at least 19 children and two teachers dead. "" Once again we have tragically proven that we are failing to be responsible for the rights our freedoms grant us,"" the ""Dallas BuyersClub"" actor wrote in a statement on his social media pages."
FOX,24,UNKNOWN,"Matthew McConaughey, pictured in 2019, is from Uvalde, Texas where a mass shooting claimed the lives of at least 19 children andtwo teachers.","He said that Americans can’t accept mass shootings as the status quo. Matthew McConaughey, pictured in 2019, is from Uvalde, Texas where a mass shooting claimed the lives of at least 19 children andtwo teachers."
NYT,2,May25,"A gunman killed at least 19 children and two adults on Tuesday in a rural Texas elementary school, a state police official said, in the deadliest American school shooting since the massacre at Sandy Hook Elementary a decade ago.","A gunman killed at least 19 children and two adults on Tuesday in a rural Texas elementary school, a state police official said, in the deadliest American school shooting since the massacre at Sandy Hook Elementary a decade ago. The slayings took place just before noon at Robb Elementary School, where second through fourth graders in Uvalde, a small city west of San Antonio, were preparing to start summer break this week."
NYT,2,May25,"At least one teacher was among the adults killed, and several other children were wounded.","The slayings took place just before noon at Robb Elementary School, where second through fourth graders in Uvalde, a small city west of San Antonio, were preparing to start summer break this week. At least one teacher was among the adults killed, and several other children were wounded. The gunman, whom the authorities identified as an 18-year-old man who had attended a nearby high school, was armed with several weapons, officials said."
NYT,2,May25,"He shot and killed horrifically, incomprehensibly,'' Gov. Greg Abbott said in a news conference.","He also died at the scene, they said. '' He shot and killed horrifically, incomprehensibly,'' Gov. Greg Abbott said in a news conference. As terrified parents in Uvalde waited for word of their children's safety and law enforcement officials raced to piece together how the attack had transpired, the mass shooting was deepening a national political debate over gun laws and the prevalence of weapons."
